Location Zone,Casino,Restaurant,Day of Week,Start Time,End Time,Drinks,Food,Start Time Clean,End Time Clean,Is Sunday,Is Monday,Is Tuesday,Is Wednesday,Is Thursday,Is Friday,Is Saturday,Drink Min Price,Cheapest Drink,Food Min Price,Cheapest Food Item
Strip,ARIA Resort & Casino,Bardot Brasserie,Daily,5:00 PM,7:00 PM,"$7 beers, $12–$16 wine, $14 cocktails","$3 oysters, $8–$24 food",5:00:00 PM,7:00:00 PM,1,1,1,1,1,1,1,7,$7 beers,3,$3 oysters
Strip,ARIA Resort & Casino,Cathédrale,Daily,5:00 PM,7:00 PM,"$10 beer, $11 wine, $12 well, $14 signature cocktails",$16–$18 appetizers,5:00:00 PM,7:00:00 PM,1,1,1,1,1,1,1,10,$10 beer,16,$16–$18 appetizers
Strip,ARIA Resort & Casino,Proper Bar (Proper Eats Food Hall),Mon–Fri,4:00 PM,6:00 PM,—,$2 Blue Point oysters,4:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,0,,2,$2 Blue Point oysters
Strip,Showcase Mall,BrewDog Las Vegas,Mon–Thu,3:00 PM,6:00 PM,$7 craft beer,"$10 pizza, 2-for-1 apps",3:00:00 PM,6:00:00 PM,0,1,1,1,1,0,0,7,$7 craft beer,10,$10 pizza
Strip,Showcase Mall,BrewDog Las Vegas,Sunday,9:00 AM,12:00 PM,$5 Bloody Marys,—,9:00:00 AM,12:00:00 PM,1,0,0,0,0,0,0,5,$5 Bloody Marys,0,
Strip,Caesars Palace,Carmine’s Italian,Mon–Thu,2:00 PM,4:00 PM,"$8 wine, $9–$10 cocktails",$10–$14 appetizers,2:00:00 PM,4:00:00 PM,0,1,1,1,1,0,0,8,$8 wine,10,$10–$14 appetizers
Strip,Caesars Palace,Pier 17 Yacht Club,Sun–Thu,5:00 PM,7:00 PM,"$7 beer, $8 wine, $10 well, $12 specialty cocktails",—,5:00:00 PM,7:00:00 PM,1,1,1,1,1,0,0,7,$7 beer,0,
Strip,Caesars Palace,RPM Italian,Mon–Fri,3:00 PM,6:00 PM,$8 cocktails & wine,Italian bites,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,8,$8 cocktails & wine,0,
Strip,Caesars Palace,Sushi Roku,Daily,4:00 PM,6:00 PM,Happy Hour drinks,Happy Hour food,4:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,0,,0,
Strip,Caesars Palace,The Palm Restaurant,Sun–Fri,3:00 PM,5:30 PM,"$5 beer, $7 wine, $8 cocktails",$7–$13 small bites,3:00:00 PM,5:30:00 PM,1,1,1,1,1,1,0,5,$5 beer,7,$7–$13 small bites
Strip,Caesars Palace,True Food Kitchen,Mon–Fri,3:00 PM,6:00 PM,"$5 beer & wine, $3 off cocktails","$2 off dumplings/sliders/tenders, $3 off pizza",3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,5,$5 beer & wine,2,$2 off dumplings/sliders/tenders
Strip,Caesars Palace,Zaytinya,Mon–Thu,5:00 PM,6:00 PM,Happy Hour drinks,Happy Hour bites,5:00:00 PM,6:00:00 PM,0,1,1,1,1,0,0,0,,0,
Strip,Casino Royale,Casino Royale Bar,Daily,12:00 AM,11:59 PM,"$3 bottled beer, $5 craft beer",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,3,$3 bottled beer,0,
Strip,The Cosmopolitan,Beauty & Essex,Sun–Thu,5:00 PM,7:00 PM,$10 cocktails,$10 dishes,5:00:00 PM,7:00:00 PM,1,1,1,1,1,0,0,10,$10 cocktails,10,$10 dishes
Strip,The Cosmopolitan,Blue Ribbon,Daily,5:00 PM,6:30 PM,"$7 beer, $12 wine","$12–$35 food, $8–$12 desserts",5:00:00 PM,6:30:00 PM,1,1,1,1,1,1,1,7,$7 beer,12,$12–$35 food
Strip,The Cosmopolitan,China Poblano,Daily,4:00 PM,6:00 PM,"$7 beer, $13 margaritas",$4–$13 bites,4:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,7,$7 beer,4,$4–$13 bites
Strip,The Cosmopolitan,Jaleo,Daily,5:00 PM,7:00 PM,"$7 beer, $7–$9 sangria, $10 wine, $13 cocktails",$4–$10 tapas,5:00:00 PM,7:00:00 PM,1,1,1,1,1,1,1,7,$7 beer,4,$4–$10 tapas
